"X","Y"
1,1510.81069659536
2,1510.81108731123
3,1510.81323046143
4,1510.80769173049
5,1510.80910590089
6,1510.81574727567
7,1510.80883063686
8,1510.81281107392
9,1510.81252079673
10,1510.80629199154
11,1510.81130335015
12,1510.80991234015
13,1510.80999479005
14,1510.8114629166
15,1510.80993685459
16,1510.80865045983
17,1510.81166202132
18,1510.80556348232
19,1510.80921918052
20,1510.80965693963
21,1510.80948352515
22,1510.80948555377
23,1510.80855151359
24,1510.80915229224
25,1510.81145705052
26,1510.8088841742
27,1510.81019955302
28,1510.80950328112
29,1510.80686842291
30,1510.81153836751
31,1510.81197288635
32,1510.80704664284
33,1510.80660038875
34,1510.80881253909
35,1510.80868106165
36,1510.80539990297
37,1510.8092610576
38,1510.81020394647
39,1510.80656408411
40,1510.80781863224
41,1510.80749757123
42,1510.80646704472
43,1510.80821765512
44,1510.8097374646
45,1510.80496871101
46,1510.80890018451
47,1510.81073360712
48,1510.81052646178
49,1510.80778196481
50,1510.81010826154
51,1510.8060906346
52,1510.80415639309
53,1510.80976189223
54,1510.80474259103
55,1510.80883835135
56,1510.80656403503
57,1510.80923316681
58,1510.80818585298
59,1510.80728765642
60,1510.80561397389
61,1510.80861185274
62,1510.80779209155
63,1510.80631345058
64,1510.80303290216
65,1510.80364659424
66,1510.80440711088
67,1510.80374371064
68,1510.80579986468
69,1510.80420554396
70,1510.80643448917
71,1510.80474150039
72,1510.80674496653
73,1510.80459033512
74,1510.80177509437
75,1510.80471173039
76,1510.806158445
77,1510.80680814092
78,1510.80621199937
79,1510.80198172344
80,1510.80556670903
81,1510.80484842173
82,1510.80260115018
83,1510.80640438964
84,1510.8043496149
85,1510.80334336451
86,1510.80569884092
87,1510.80388660115
88,1510.80376963331
89,1510.80668493885
90,1510.80284810611
91,1510.80277804222
92,1510.80453545984
93,1510.80431021757
94,1510.80297846758
95,1510.8020568494
96,1510.80687894746
97,1510.80561043391
98,1510.80392831469
99,1510.80305311429
100,1510.80503457934
101,1510.80641273634
102,1510.80196047191
103,1510.80506538212
104,1510.80396006154
105,1510.80461394985
106,1510.80215224497
107,1510.8056298967
108,1510.80055411486
109,1510.79850835375
110,1510.80336877743
111,1510.80051247219
112,1510.80327288354
113,1510.80383097696
114,1510.8060229804
115,1510.80081516039
116,1510.79876745041
117,1510.80238664372
118,1510.80568297734
119,1510.80319032855
120,1510.80164069746
121,1510.80117541175
122,1510.8020583064
123,1510.80075237085
124,1510.80326481185
125,1510.8023261584
126,1510.80377205744
127,1510.80096493658
128,1510.79950446474
129,1510.79910168996
130,1510.79955128751
131,1510.79953696847
132,1510.80228369676
133,1510.79913937268
134,1510.79961049116
135,1510.79889241433
136,1510.79737070329
137,1510.80022425518
138,1510.80007348613
139,1510.79982101031
140,1510.80035130035
141,1510.79952179529
142,1510.80149432906
143,1510.80160328335
144,1510.79748932108
145,1510.79987825085
146,1510.80085852694
147,1510.79835951022
148,1510.79938258415
149,1510.79729778818
150,1510.80168566314
151,1510.80044358924
152,1510.8004181139
153,1510.80077412023
154,1510.79764532327
155,1510.7975780449
156,1510.79931222953
157,1510.79761016023
158,1510.79877602063
159,1510.79894837051
160,1510.79887535912
161,1510.79989865659
162,1510.79812910545
163,1510.80129862762
164,1510.79625074793
165,1510.797013198
166,1510.79714192569
167,1510.7986153055
168,1510.79837144739
169,1510.79298199751
170,1510.7994666447
171,1510.7990441324
172,1510.79828544404
173,1510.79783997914
174,1510.79955399786
175,1510.79459620458
176,1510.79897227793
177,1510.79607700803
178,1510.79899644852
179,1510.79913102224
180,1510.79637809955
181,1510.79635706082
182,1510.79572532245
183,1510.79809170667
184,1510.79599683316
185,1510.79974071633
186,1510.79228945443
187,1510.79594749011
188,1510.79519396757
189,1510.79926160383
190,1510.7969004393
191,1510.79463862539
192,1510.79712078671
193,1510.7952861348
194,1510.79522324424
195,1510.79536424648
196,1510.79445824651
197,1510.79384939733
198,1510.79313248302
199,1510.7969045499
200,1510.79388877635
201,1510.79382737504
202,1510.79631115702
203,1510.79250483227
204,1510.79559769665
205,1510.79332165401
206,1510.79533059761
207,1510.79621680984
208,1510.79457817314
209,1510.79441503295
210,1510.79427028298
211,1510.79262017293
212,1510.79617526449
213,1510.79549018907
214,1510.79405876801
215,1510.79360355603
216,1510.79427884474
217,1510.79680482351
218,1510.79677409234
219,1510.79294246768
220,1510.79586722454
221,1510.79467390371
222,1510.79512906503
223,1510.7919234174
224,1510.79215628203
225,1510.79475828941
226,1510.79636675613
227,1510.79747284534
228,1510.79272286609
229,1510.79548436237
230,1510.79414888382
231,1510.79637670242
232,1510.79057987541
233,1510.79209444074
234,1510.79252777799
235,1510.79446987371
236,1510.79009073663
237,1510.79172377224
238,1510.7928045259
239,1510.79262451722
240,1510.79589573334
241,1510.79003819538
242,1510.78858261854
243,1510.79492730073
244,1510.79190572056
245,1510.79603516844
246,1510.79332640734
247,1510.79205990606
248,1510.79547023977
249,1510.79395658486
250,1510.78827114235
251,1510.79353128332
252,1510.79261631363
253,1510.79183724068
254,1510.78794425163
255,1510.7925346513
256,1510.7958240222
257,1510.79159926199
258,1510.78719730119
259,1510.78870348432
260,1510.78886941723
261,1510.78938806902
262,1510.79201855853
263,1510.79074830734
264,1510.79419109341
265,1510.78873223014
266,1510.79134140773
267,1510.78869249293
268,1510.78932039977
269,1510.79259325239
270,1510.78799412197
271,1510.79246705622
272,1510.79250005057
273,1510.79052566264
274,1510.79225336473
275,1510.79252782618
276,1510.79386418712
277,1510.79051064903
278,1510.79399801336
279,1510.78862868209
280,1510.79225423227
281,1510.79264137204
282,1510.79312255241
283,1510.79030310753
284,1510.79186575036
285,1510.79265004069
286,1510.7906312066
287,1510.79027761094
288,1510.7930896596
289,1510.79525013423
290,1510.79470816166
291,1510.78909089668
292,1510.79082817864
293,1510.79328348984
294,1510.78699854795
295,1510.79337632546
296,1510.79007559289
297,1510.7904625846
298,1510.79100945532
299,1510.79573619291
300,1510.79259037844
301,1510.78925778661
302,1510.79088833161
303,1510.791273744
304,1510.78989276523
305,1510.79045521249
306,1510.79136724302
307,1510.78895053975
308,1510.79063225088
309,1510.79025068667
310,1510.79062134818
311,1510.79191699661
312,1510.79205525533
313,1510.79360481286
314,1510.79346540262
315,1510.79019015205
316,1510.79185917652
317,1510.78948235973
318,1510.79486684696
319,1510.7937530979
320,1510.78966158318
321,1510.79252259418
322,1510.7962999527
323,1510.79426058374
324,1510.79157409405
325,1510.78858401936
326,1510.79162280706
327,1510.79119640267
328,1510.79169372267
329,1510.79229439766
330,1510.79278014847
331,1510.7932508695
332,1510.79247918902
333,1510.78943011679
334,1510.79369324141
335,1510.79052056828
336,1510.79234227996
337,1510.79143939039
338,1510.79400696635
339,1510.79158174042
340,1510.79164976639
341,1510.79190366451
342,1510.79342755632
343,1510.79298382584
344,1510.79271086935
345,1510.78836363829
346,1510.79122917144
347,1510.79163043479
348,1510.78718913312
349,1510.79336711519
350,1510.79162928552
351,1510.79757477207
352,1510.79285565604
353,1510.79236738949
354,1510.79300175664
355,1510.79274341981
356,1510.79441568671
357,1510.78917076227
358,1510.79410929748
359,1510.79596086054
360,1510.79129892028
361,1510.79486430175
362,1510.79474983119
363,1510.79042282222
364,1510.7955744826
365,1510.79144625319
366,1510.791407426
367,1510.79336738503
368,1510.79112912855
369,1510.78792991841
370,1510.79374909638
371,1510.79127401317
372,1510.79088617534
373,1510.79305280371
374,1510.79298837669
375,1510.79367128897
376,1510.79003831888
377,1510.79339510536
378,1510.79482503318
379,1510.79011533467
380,1510.79352878363
381,1510.78926524679
382,1510.79341909196
383,1510.79266017876
384,1510.79324385971
385,1510.78801363893
386,1510.79511861067
387,1510.78893389891
388,1510.79404665638
389,1510.79434745465
390,1510.79379695136
391,1510.79045329449
392,1510.79099732633
393,1510.7928389791
394,1510.79030663332
395,1510.78932140254
396,1510.78799969495
397,1510.79381460852
398,1510.79255633113
399,1510.78906219353
400,1510.79140609039
401,1510.79159656501
402,1510.79316842969
403,1510.79360527321
404,1510.79290609739
405,1510.79296002563
406,1510.79276224015
407,1510.79544173959
408,1510.79404093379
409,1510.78995970943
410,1510.79278695099
411,1510.79096804365
412,1510.794253332
413,1510.79200447901
414,1510.79473627759
415,1510.79251571957
416,1510.7893644599
417,1510.79607624956
418,1510.79039357313
419,1510.79238034838
420,1510.79331837311
421,1510.79080644943
422,1510.79187683821
423,1510.79272649113
424,1510.79472709225
425,1510.79168173927
426,1510.79336875306
427,1510.79082244862
428,1510.7932828208
429,1510.78928331736
430,1510.78848004699
431,1510.79432588333
432,1510.79328293819
433,1510.78782843495
434,1510.79170189705
435,1510.79082460595
436,1510.79300963476
437,1510.79250728239
438,1510.79238151376
439,1510.79127350725
440,1510.79310828504
441,1510.79296937627
442,1510.79202766106
443,1510.79150337196
444,1510.79163189182
445,1510.7903544355
446,1510.79349676369
447,1510.79052977043
448,1510.79625877023
449,1510.78982001271
450,1510.7926182311
451,1510.79644435932
452,1510.7912843618
453,1510.78899098151
454,1510.7903705225
455,1510.79429194186
456,1510.79683761082
457,1510.79242456584
458,1510.79061067012
459,1510.79561472161
460,1510.79121711839
461,1510.79592300445
462,1510.79283783307
463,1510.79375322598
464,1510.78967896696
465,1510.78875616656
466,1510.79155608282
467,1510.79459177491
468,1510.79230129829
469,1510.79376833228
470,1510.79225919103
471,1510.78933875555
472,1510.79528329584
473,1510.792734338
474,1510.79216147219
475,1510.79259512695
476,1510.79273304194
477,1510.79414318592
478,1510.79228322118
479,1510.79463792347
480,1510.78747078888
481,1510.79083637218
482,1510.79371292934
483,1510.79466931103
484,1510.79143794841
485,1510.79297243646
486,1510.7941528391
487,1510.78878471869
488,1510.78846368901
489,1510.79195144398
490,1510.79466628653
491,1510.78837899722
492,1510.79301893337
493,1510.7954511087
494,1510.79501184819
495,1510.7963304783
496,1510.79258581852
497,1510.79092176175
498,1510.79235536266
499,1510.79314890158
500,1510.79500058186
501,1510.7938280046
502,1510.79278893282
503,1510.79363270845
504,1510.79364966285
505,1510.79210888354
506,1510.79211770538
507,1510.79340975916
508,1510.79189274196
509,1510.79083130311
510,1510.79433061783
511,1510.79235726933
512,1510.78865559628
513,1510.79652720643
514,1510.79277889052
